"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"55",2018-09-29,"16:59:16",33.451573,-112.04664,"3","3",38,12,0.6,62.4,51.8
"56",2018-09-29,"16:59:16",33.451583,-112.046606,"3","3",38,12,0.6,62.4,51.8
"57",2018-09-29,"16:59:16",33.451576,-112.046625,"3","3",38,12,0.6,62.4,51.8
"58",2018-09-29,"16:59:16",33.451581,-112.046606,"3","3",38,12,0.6,62.4,51.8
"59",2018-09-29,"16:59:16",33.451588,-112.046601,"3","3",38,12,0.4,62.6,52.2
"60",2018-09-29,"17:00:17",33.45159,-112.046603,"3","3",38,12,0.4,62.6,52.2
"61",2018-09-29,"17:00:17",33.451616,-112.046611,"3","3",38.1,12,0.5,62.8,52.2
"62",2018-09-29,"17:41:17",33.457836,-112.041093,"7","3",37.7,12,2.7,65.2,51.4
"63",2018-09-29,"17:43:17",33.457831,-112.041098,"7","3",37.7,12,2.7,65.2,51.4
"64",2018-09-29,"17:43:17",33.457831,-112.041098,"7","3",37.7,12,2.7,65.2,51.4
"65",2018-09-29,"17:43:17",33.457831,-112.041098,"7","3",37.7,12,2.7,65.2,51.4
"66",2018-09-29,"17:44:17",33.457831,-112.041098,"7","3",37.7,12,2.7,65.2,51.4
"67",2018-09-29,"17:44:17",33.457828,-112.041084,"7","3",37.7,12,2.7,65.2,51.4
"68",2018-09-29,"17:41:17",33.457853,-112.041083,"7","3",37.7,12,2.1,65.6,52
"69",2018-09-29,"17:41:17",33.45788,-112.041131,"7","3",37.7,12,2.1,63.5,50.9
"70",2018-09-29,"17:41:17",33.457836,-112.041101,"7","3",37.4,12,1.5,56.1,47
"71",2018-09-29,"17:41:17",33.457836,-112.041101,"7","3",37.4,12,1.5,56.1,47
"72",2018-09-29,"17:42:17",33.457836,-112.041101,"7","3",37.4,12,1.5,56.1,47
"73",2018-09-29,"17:42:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"74",2018-09-29,"17:42:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"75",2018-09-29,"17:42:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"76",2018-09-29,"17:42:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"77",2018-09-29,"17:42:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"78",2018-09-29,"17:43:17",33.457835,-112.041101,"7","3",37.4,12,1.5,56.1,47
"79",2018-09-29,"17:43:17",33.457833,-112.0411,"7","3",37.4,12,1.5,56.1,47
"80",2018-09-29,"17:43:17",33.457833,-112.0411,"7","3",37.4,12,1.5,56.1,47
"81",2018-09-29,"16:53:16",33.451564,-112.046589,"3","4",38.1,12,1.3,61.3,50.8
"82",2018-09-29,"16:53:16",33.45154,-112.046584,"3","4",38.1,12,1.3,61.3,50.8
"83",2018-09-29,"16:54:16",33.45153,-112.046591,"3","4",38.1,12,1.3,61.3,50.8
"84",2018-09-29,"16:54:16",33.451531,-112.046584,"3","4",38.1,12,1.3,61.3,50.8
"85",2018-09-29,"16:54:16",33.451531,-112.046579,"3","4",38.1,12,1.3,61.3,50.8
"86",2018-09-29,"16:54:16",33.451526,-112.046583,"3","4",38.1,12,1.3,61.3,50.8
"87",2018-09-29,"16:54:16",33.45154,-112.046586,"3","4",38.1,12,1.3,61.3,50.8
"88",2018-09-29,"16:54:16",33.451536,-112.046593,"3","4",38.1,12,1.3,61.3,50.8
"89",2018-09-29,"16:53:16",33.45156,-112.046613,"3","4",38.2,12,1.1,64.8,52.9
"90",2018-09-29,"16:58:16",33.451804,-112.047004,"3","5",38.1,12,0.8,65.2,53.3
"91",2018-09-29,"16:58:16",33.451781,-112.046818,"3","5",38.1,12,0.8,65.2,53.3
"92",2018-09-29,"16:58:16",33.451839,-112.046836,"3","5",38.2,12,0.5,66.4,54.5
"93",2018-09-29,"16:58:16",33.451856,-112.046843,"3","5",38.1,12,0.8,65.9,53.7
"94",2018-09-29,"16:58:16",33.451871,-112.046851,"3","5",38.1,12,0.8,65.9,53.7
"95",2018-09-29,"17:35:17",33.457828,-112.040836,"7","5",36.2,12,1.6,33.9,35.3
"96",2018-09-29,"17:36:17",33.457844,-112.040809,"7","5",36.2,12,1.6,33.9,35.3
