"","shipment_date","port","import_export","taxa","genus","species","quantity","value"
"390",2010-04-06,"HA","I","shell","Pyrene","testudinaria",59,NA
"391",2002-10-25,"DS","I","bird","Branta","canadensis",1,0
"392",2007-04-15,"CH","I","mammal","Sciurus","vulgaris",1,100
"393",2003-04-18,"MI","I","shell","Pinctada","maxima",72,32
"394",2013-10-17,"NW","I","shell","Pinctada","margaritifera",1,NA
"395",2011-05-25,"NY","I","shell","Pinctada","maxima",4,500
"396",2010-11-19,"NY","I","mammal","Aepyceros","melampus",1,NA
"397",2003-12-21,"NY","I","mammal","Mustela","vison",6,3057
"398",2002-09-07,"NY","I","shell",NA,NA,28,1189
"399",2005-05-25,"NY","I","reptile","Alligator","mississippiensis",10,750
"400",2003-06-06,"NG","I","mammal","Odocoileus","virginianus",5,838
"401",2002-02-10,"LA","I","other","Other live inverts","in trop fish &",690,520
"402",2005-03-18,"NY","I","reptile","Homalopsis","buccata",116,9752
"403",2004-02-15,"LA","I","coral","Stylophora","pistillata",5,40
"404",2012-02-26,"NW","I","reptile","Python","molurus",1,1144
"405",2010-09-04,"LA","I","fish","Tropical fish","(freshwater sp.)",106614,NA
"406",2012-06-10,"LO","I","shell","Cristaria","discoidea",82,17
"407",2001-10-05,"SF","I","mammal","Damaliscus","pygargus",1,0
"408",2012-11-09,"PT","I","crustacean","Non-CITES entry","sp.",197,19
"409",2003-09-02,"HA","I","shell","Nassa","serta",3888,1088
"410",2011-07-24,"LA","I","coral","Plerogyra","sinuosa",20,138
"411",2012-11-06,"NW","I","reptile","Crocodylus","niloticus",1,11003
"412",2010-10-12,"AT","I","fish","Betta","splendens",244,NA
"413",2007-05-09,"LO","I","shell","Haliotis","iris",43,190
"414",2001-12-08,"MI","I","reptile","Physignathus","concincinus",560,672
"415",2004-06-03,"PB","I","mammal","Cervus","elaphus",2,7400
"416",2002-07-24,"BV","I","fish","Conger","conger",44,1276
"417",2012-04-04,"LA","I","coral","Montastraea","annuligera",2,2
"418",2010-12-16,"NW","I","bird","Struthio","camelus",4,NA
"419",2011-06-28,"PT","I","shell",NA,NA,390966,23890
"420",2005-07-28,"DE","I","other","Other live inverts","in trop fish &",62,29
"421",2012-02-08,"NY","I","bird","Struthio","camelus",4,4459
"422",2012-12-12,"CH","I","mammal","Aepyceros","melampus",1,430
"423",2002-05-02,"DN","I",NA,NA,NA,12,15
"424",2007-06-24,"NY","I","fish","All live tropical fish","(including goldfish)",8273,921
"425",2013-01-20,"LA","I","coral","Cynarina","lacrymalis",1,6
"426",2000-04-10,"NY","I","reptile","Python","reticulatus",80,1744
"427",2007-04-22,"NY","I","mammal","Kobus","ellipsiprymnus",1,50
"428",2008-08-16,"CH","I","mammal","Antidorcas","marsupialis",3,NA
"429",2008-03-26,"MI","I","crustacean",NA,NA,1500,NA
"430",2002-03-02,"NY","I","bird","Struthio","camelus",200,8750
"431",2004-03-02,"BL","I","bird","Phasianus","colchicus",6,39
"432",2014-03-07,"CH","I","mammal","Tragelaphus","strepsiceros",1,NA
"433",2007-07-26,"LA","I","coral","Acropora","sp.",173,89
"434",2000-08-09,"MI","I","reptile","Crotalus","sp.",1,12
"435",2007-01-15,"LO","I","shell","Haliotis","iris",8,7
"436",2002-03-20,"AN","I","shell","Pinctada","maxima",1,1
"437",2010-03-10,"LA","I","fish","Cyprinus","carpio",4330,NA
"438",2008-04-29,"LA","I","coral","Euphyllia","cristata",30,NA
"439",2002-09-16,"MI","I","other","Non-CITES entry","sp.",152,733
"440",2000-10-25,"NY","I","reptile","Alligator","mississippiensis",13,150
"441",2009-01-11,"NW","I","shell","Loligo","sp.",4200,NA
"442",2011-03-09,"SE","I","other","Other live inverts","in trop fish &",17,NA
"443",2003-11-04,"NY","I","reptile","Varanus","salvator",44,3094
"444",2007-06-14,"AN","I","shell",NA,NA,8,5
"445",2010-12-13,"MI","I","reptile","Basiliscus","plumifrons",200,NA
"446",2009-11-16,"LA","I","bird","Struthio","camelus",276,NA
"447",2004-05-18,"NY","I","mammal","Taurotragus","oryx",1,50
"448",2014-06-02,"DE","I","amphibian","Mantella","aurantiaca",13,NA
"449",2003-06-15,"NY","I","coral","Radianthus","sp.",10,7
"450",2013-03-23,"NY","I","mammal","Redunca","arundinum",1,50
"451",2009-09-04,"SF","I","mammal","Bubalus","bubalis",2,NA
"452",2007-03-21,"SF","I","shell","Pteria","penguin",17,25
"453",2009-07-19,"LA","I","coral","Scleractinia","sp.",178,NA
"454",2005-05-19,"NY","I","reptile","Alligator","mississippiensis",2,1648
