"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"77","Clara Barton NHS",2022,673,0,673,0,0,0,0,0,0,0,0
"78","Colonial NHP",2022,2762273,1682553,2894862,841276,0,0,0,0,0,0,0
"79","Colorado NM",2022,480442,364961,1599199,182481,0,0,20068,18004,112,0,0
"80","Congaree NP",2022,204522,0,905268,0,0,0,6055,0,805,0,7725
"81","Coronado NMEM",2022,131359,2508,143393,1248,0,0,0,0,0,0,0
"82","Cowpens NB",2022,212534,0,191020,0,0,0,0,0,0,0,0
"83","Crater Lake NP",2022,527259,49600,2863605,24800,31154,24384,0,0,1588,0,0
"84","Craters of the Moon NM & PRES",2022,237774,0,724731,0,0,0,5225,11453,198,0,917
"85","Cumberland Gap NHP",2022,732916,6306152,1725162,3153076,0,0,6743,17723,926,0,2187
"86","Cumberland Island NS",2022,64387,0,852696,0,0,0,17849,0,3374,0,0
"87","Curecanti NRA",2022,992749,0,4036269,0,0,0,13028,32584,463,0,340
"88","Cuyahoga Valley NP",2022,2913312,0,8151031,0,6586,0,0,0,0,0,3782
"89","Dayton Aviation Heritage NHP",2022,81303,0,111719,0,0,0,0,0,0,0,0
"90","De Soto NMEM",2022,173150,0,285697,0,0,0,0,0,0,0,0
"91","Death Valley NP",2022,1128862,44315,8659638,66470,23067,2862,81453,95799,3283,0,471
"92","Delaware Water Gap NRA",2022,4380225,54000,18315066,27000,0,11571,0,0,13142,0,14995
"93","Denali NP & PRES",2022,427562,903543,5350801,225885,0,19877,0,0,33335,0,0
"94","Devils Postpile NM",2022,144453,0,505589,0,0,0,0,0,0,0,0
"95","Devils Tower NM",2022,480713,2557,1233394,1279,0,0,1742,3238,0,0,0
"96","Dinosaur NM",2022,351019,732,2068502,732,0,0,14409,13097,36907,0,7437
"97","Dry Tortugas NP",2022,78488,2109,598701,25308,0,0,5324,0,0,2109,7635
"98","Dwight D. Eisenhower MEM",2022,760603,0,380303,0,0,0,0,0,0,0,0
"99","Edgar Allan Poe NHS",2022,10726,0,10726,0,0,0,0,0,0,0,0
"100","Effigy Mounds NM",2022,56422,1200,141054,204,0,0,0,0,0,0,0
"101","Eisenhower NHS",2022,22250,0,35600,0,0,0,0,0,0,0,0
"102","El Malpais NM",2022,162755,720,651019,180,0,0,0,0,0,0,0
"103","El Morro NM",2022,60501,12638,187829,4170,0,0,1398,2118,0,0,0
"104","Eleanor Roosevelt NHS",2022,19076,0,28616,0,0,0,0,0,0,0,0
"105","Eugene O'Neill NHS",2022,18754,0,15107,0,0,0,0,0,0,0,0
"106","Everglades NP",2022,1155193,6000,6053850,27000,0,64607,0,0,12305,0,27
"107","Federal Hall NMEM",2022,40229,1256,35491,2092,0,0,0,0,0,0,0
"108","Fire Island NS",2022,393749,207135,1411919,621405,338,2805,0,0,3073,0,10388
"109","First Ladies NHS",2022,7146,0,14292,0,0,0,0,0,0,0,0
"110","Flight 93 NMEM",2022,346559,0,606481,0,0,0,0,0,0,0,0
"111","Florissant Fossil Beds NM",2022,67174,0,81516,0,0,0,0,0,0,0,0
"112","Ford's Theatre NHS",2022,319596,4533,389079,13599,0,0,0,0,0,0,0
"113","Fort Bowie NHS",2022,7913,0,15826,0,0,0,0,0,0,0,0
"114","Fort Caroline NMEM",2022,329363,0,329363,0,0,0,0,0,0,0,0
"115","Fort Davis NHS",2022,45401,261,90802,438,0,0,0,0,0,0,0
"116","Fort Donelson NB",2022,183638,433806,122350,14315,0,0,0,0,0,0,2
"117","Fort Frederica NM",2022,245214,1800,247483,444,0,0,0,0,0,0,0
"118","Fort Laramie NHS",2022,39657,365,59486,544,0,0,0,0,0,0,0
"119","Fort Larned NHS",2022,26219,0,52438,0,0,0,0,0,0,0,0
"120","Fort Matanzas NM",2022,698895,0,714023,0,0,0,0,0,0,0,0
"121","Fort McHenry NM & HS",2022,223957,720,335932,360,0,0,0,0,0,0,0
"122","Fort Necessity NB",2022,258293,120,354866,48,0,0,0,0,0,0,349
"123","Fort Point NHS",2022,955454,0,538717,0,0,0,0,0,0,0,0
"124","Fort Pulaski NM",2022,471077,74522,942154,18631,0,0,0,0,0,0,0
"125","Fort Raleigh NHS",2022,287650,6344,393985,6344,0,0,0,0,0,0,0
"126","Fort Scott NHS",2022,26854,244,40280,81,0,0,0,0,0,0,0
"127","Fort Smith NHS",2022,123229,0,163893,0,0,0,0,0,0,0,0
"128","Fort Stanwix NM",2022,71716,0,107575,0,0,0,0,0,0,0,0
"129","Fort Sumter and Fort Moultrie NHP",2022,385472,492359,892518,246178,0,0,0,0,0,0,45
"130","Fort Union NM",2022,7557,220,8917,21,0,0,0,0,0,0,0
"131","Fort Union Trading Post NHS",2022,12822,444,15768,113,0,0,0,0,0,0,0
"132","Fort Vancouver NHS",2022,964318,900,992732,7200,0,0,0,0,0,0,0
"133","Fort Washington Park",2022,406917,0,1574736,0,0,0,0,0,0,0,0
"134","Fossil Butte NM",2022,17879,325,27176,238,0,0,0,0,0,0,0
"135","Franklin Delano Roosevelt MEM",2022,3291313,0,1645656,0,0,0,0,0,0,0,0
"136","Frederick Douglass NHS",2022,211,0,211,0,0,0,0,0,0,0,0
"137","Frederick Law Olmsted NHS",2022,14148,0,28296,0,0,0,0,0,0,0,0
"138","Fredericksburg & Spotsylvania NMP",2022,756296,1244420,357034,139562,0,0,0,0,0,0,0
"139","Friendship Hill NHS",2022,16395,0,39529,0,0,0,0,0,0,0,0
"140","Gates of the Arctic NP & PRES",2022,9457,0,100785,0,0,0,0,0,4017,0,0
"141","Gateway Arch NP",2022,1618774,0,6459955,0,0,0,0,0,0,0,0
"142","Gateway NRA",2022,8728291,916791,24758979,1833583,0,0,5141,0,0,0,1537
"143","Gauley River NRA",2022,163510,0,975572,0,0,0,4504,4508,0,0,0
"144","General Grant NMEM",2022,132542,380,189954,190,0,0,0,0,0,0,0
"145","George Rogers Clark NHP",2022,123229,0,165127,0,0,0,0,0,0,0,0
"146","George Washington Birthplace NM",2022,96234,7200,302761,7200,0,0,0,0,0,0,0
"147","George Washington Carver NM",2022,29725,0,38641,0,0,0,0,0,0,0,0
"148","George Washington MEM PKWY",2022,7397120,33282505,9553036,16641252,0,0,0,0,0,0,0
"149","Gettysburg NMP",2022,764576,74400,3154421,12348,0,0,0,0,0,0,0
"150","Gila Cliff Dwellings NM",2022,43608,0,65412,0,0,0,0,0,0,0,0
"151","Glacier Bay NP & PRES",2022,545758,545,7016261,121480,15554,0,724,0,3741,5020,8839
"152","Glacier NP",2022,2908458,13835,31296627,114065,110380,0,90422,112485,28261,0,6788
"153","Glen Canyon NRA",2022,2842776,23322,26799694,279833,23636,2286,9647,10799,2308,0,518772
"154","Golden Gate NRA",2022,15638911,0,41176537,0,65130,0,5393,0,1610,0,9262
"155","Golden Spike NHP",2022,49042,31000,116498,15500,0,0,0,0,0,0,0
"156","Governors Island NM",2022,44345,0,88689,0,0,0,0,0,0,0,0
"157","Grand Canyon NP",2022,4732101,7720,74184926,7720,526467,39400,89825,56759,331623,0,14141
"158","Grand Portage NM",2022,93108,0,198014,0,0,0,0,0,58,0,0
"159","Grand Teton NP",2022,2806223,1536763,20885529,1536763,196981,402336,0,0,40010,0,0
"160","Grant-Kohrs Ranch NHS",2022,24351,0,29951,0,0,0,0,0,0,0,0
"161","Great Basin NP",2022,142115,1200,1569574,600,0,0,23091,24433,316,0,2021
"162","Great Sand Dunes NP & PRES",2022,493428,470,2868107,470,0,0,31799,25137,10274,0,8279
"163","Great Smoky Mountains NP",2022,12937633,10832000,96000691,5416000,10461,0,213092,158750,96762,0,38637
"164","Greenbelt Park",2022,60800,0,166227,0,0,0,916,1420,0,0,176
"165","Guadalupe Mountains NP",2022,219987,1440,612493,1440,0,0,17114,9607,1615,0,4263
"166","Guilford Courthouse NMP",2022,389057,2793091,209298,23183,0,0,0,0,0,0,10
"167","Gulf Islands NS",2022,5685155,110991,17623555,21952,0,0,44866,131541,0,0,3560
"168","Hagerman Fossil Beds NM",2022,25122,0,37685,0,0,0,0,0,0,0,0
"169","Haleakala NP",2022,1087616,20160,2918775,20160,0,0,20614,0,5604,0,4763
"170","Hamilton Grange NMEM",2022,45198,75,29108,1,0,0,0,0,0,0,0
"171","Hampton NHS",2022,12506,600,18758,600,0,0,0,0,0,0,0
"172","Harpers Ferry NHP",2022,407008,0,1628032,0,0,0,0,0,0,0,0
"173","Harry S Truman NHS",2022,21471,0,14643,0,0,0,0,0,0,0,0
"174","Hawaii Volcanoes NP",2022,1580961,1890756,10412282,623949,34075,7516,936,152,4864,0,76756
"175","Herbert Hoover NHS",2022,103804,18000,103804,1200,0,0,0,0,0,0,0
"176","Home of Franklin D. Roosevelt NHS",2022,100665,0,155700,0,0,0,0,0,0,0,0
"177","Homestead NHP",2022,47614,330277,79988,52843,0,0,0,0,0,0,0
