"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"308","Rosie The Riveter WWII Home Front NHP",2022,37359,0,112077,0,0,0,0,0,0,0,0
"309","Ross Lake NRA",2022,998019,720,3911891,720,10708,0,62475,21164,23759,0,3306
"310","Russell Cave NM",2022,16988,0,18711,0,0,0,0,0,0,0,0
"311","Sagamore Hill NHS",2022,91735,0,229337,0,0,0,0,0,0,0,0
"312","Saguaro NP",2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
"313","Saint Croix Island IHS",2022,12139,0,15173,0,0,0,0,0,0,0,0
"314","Saint Croix NSR",2022,833773,0,7776806,0,0,0,0,0,93453,0,0
"315","Saint Paul's Church NHS",2022,8790,180,11906,48,0,0,0,0,0,0,0
"316","Saint-Gaudens NHP",2022,25513,0,48291,0,0,0,0,0,0,0,0
"317","Salem Maritime NHS",2022,392836,0,201586,0,0,0,0,0,0,0,0
"318","Salinas Pueblo Missions NM",2022,37190,0,75817,0,0,0,0,0,0,0,0
"319","Salt River Bay NHP & Ecological Pres",2022,12155,0,28857,0,0,0,0,0,0,0,0
"320","San Antonio Missions NHP",2022,1238920,0,1706257,0,0,0,0,0,0,0,0
"321","San Francisco Maritime NHP",2022,3034750,0,3046030,0,0,0,0,0,0,0,677
"322","San Juan Island NHP",2022,700325,74023,1212269,18508,0,0,0,0,0,0,0
"323","San Juan NHS",2022,1027264,0,1949205,0,0,0,0,0,0,0,0
"324","Sand Creek Massacre NHS",2022,4772,0,9543,0,0,0,0,0,0,0,0
"325","Santa Monica Mountains NRA",2022,795217,94346,1474343,47715,0,0,0,0,0,0,0
"326","Saratoga NHP",2022,70742,88323,174476,7065,0,0,0,0,0,0,0
"327","Saugus Iron Works NHS",2022,27478,15052,41219,1505,0,0,0,0,0,0,0
"328","Scotts Bluff NM",2022,174651,0,331835,0,0,0,0,0,0,0,0
"329","Sequoia NP",2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
"330","Shenandoah NP",2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
"331","Shiloh NMP",2022,387205,161619,539028,32323,0,0,0,0,0,0,0
"332","Sitka NHP",2022,134451,0,81152,0,0,0,0,0,0,0,0
"333","Sleeping Bear Dunes NL",2022,1501117,0,8716470,0,0,0,60553,67587,22703,0,0
"334","Springfield Armory NHS",2022,14486,0,28977,0,0,0,0,0,0,0,0
"335","Statue of Liberty NM",2022,3141213,0,14135458,0,0,0,0,0,0,0,0
"336","Steamtown NHS",2022,71232,11592,94659,5796,0,0,0,0,0,0,0
"337","Stones River NB",2022,417791,1440,549524,240,0,0,0,0,0,0,0
"338","Stonewall NM",2022,1581961,17724,1530082,70896,0,0,0,0,0,0,0
"339","Sunset Crater Volcano NM",2022,54787,12000,77776,3996,0,0,0,0,0,0,0
"340","Tallgrass Prairie NPRES",2022,24795,0,49590,0,0,0,0,0,0,0,0
"341","Thaddeus Kosciuszko NMEM",2022,1680,0,420,0,0,0,0,0,0,0,0
"342","Theodore Roosevelt Birthplace NHS",2022,7948,0,9499,0,0,0,0,0,0,0,0
"343","Theodore Roosevelt Inaugural NHS",2022,19728,0,36698,0,0,0,0,0,0,0,0
"344","Theodore Roosevelt Island",2022,171500,0,308700,0,0,0,0,0,0,0,0
"345","Theodore Roosevelt NP",2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
"346","Thomas Edison NHP",2022,33095,5303,40008,797,0,0,0,0,0,0,0
"347","Thomas Jefferson MEM",2022,2975148,0,1487576,0,0,0,0,0,0,0,0
"348","Thomas Stone NHS",2022,4821,0,2407,0,0,0,0,0,0,0,0
"349","Timpanogos Cave NM",2022,155995,0,336272,0,0,0,0,0,0,0,0
"350","Timucuan EHP",2022,1102223,0,2753308,0,0,0,0,0,0,0,0
"351","Tonto NM",2022,31504,0,55882,0,0,0,0,0,0,0,0
"352","Tule Springs Fossil Beds NM",2022,47674,0,71511,0,0,0,0,0,0,0,0
"353","Tumacacori NHP",2022,38786,0,62629,0,0,0,0,0,0,0,0
"354","Tuskegee Airmen NHS",2022,16137,0,24202,0,0,0,0,0,0,0,0
"355","Tuskegee Institute NHS",2022,9769,0,4884,0,0,0,0,0,0,0,0
"356","Tuzigoot NM",2022,116639,0,116639,0,0,0,0,0,0,0,0
"357","Ulysses S. Grant NHS",2022,32354,0,48531,0,0,0,0,0,0,0,0
"358","Upper Delaware S&RR",2022,270718,331091,1039489,26856,0,0,0,0,0,0,0
"359","Valles Caldera NPRES",2022,63738,761,205999,6088,0,0,0,0,78,0,1046
"360","Valley Forge NHP",2022,1645298,0,3290597,0,0,0,0,0,0,0,0
"361","Vanderbilt Mansion NHS",2022,326012,0,388673,0,0,0,0,0,0,0,0
"362","Vicksburg NMP",2022,410487,0,912962,0,0,0,0,0,0,0,0
"363","Vietnam Veterans MEM",2022,4886254,0,2443128,0,0,0,0,0,0,0,0
"364","Virgin Islands NP",2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
"365","Voyageurs NP",2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
"366","Waco Mammoth NM",2022,88240,2516,109230,1258,0,0,0,0,0,0,0
"367","Walnut Canyon NM",2022,179396,480,233216,240,0,0,0,0,0,0,0
"368","War in the Pacific NHP",2022,380578,319,381902,159,0,0,0,0,0,0,0
"369","Washington Monument",2022,260317,0,260317,0,0,0,0,0,0,0,0
"370","Washita Battlefield NHS",2022,12658,0,25321,0,0,0,0,0,0,0,0
"371","Weir Farm NHP",2022,37977,0,69848,0,0,0,0,0,0,0,0
"372","Whiskeytown NRA",2022,1505134,6044,4379338,11362,0,12576,7066,1795,0,0,7778
"373","White House",2022,236380,0,340532,0,0,0,0,0,0,0,0
"374","White Sands NP",2022,705127,0,1399252,0,0,0,0,0,0,0,0
"375","Whitman Mission NHS",2022,52000,888,52000,444,0,0,0,0,0,0,0
"376","William Howard Taft NHS",2022,27740,0,27740,0,0,0,0,0,0,0,0
"377","Wilson's Creek NB",2022,282914,0,565826,0,0,0,0,0,0,0,0
"378","Wind Cave NP",2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
"379","Wolf Trap NP for the Performing Arts",2022,445497,0,1781988,0,0,0,0,0,0,0,0
"380","Women's Rights NHP",2022,34294,1344,36740,672,0,0,0,0,0,0,0
"381","World War I Memorial",2022,848634,0,424318,0,0,0,0,0,0,0,0
"382","World War II Memorial",2022,4815309,0,2407651,0,0,0,0,0,0,0,0
"383","Wrangell-St. Elias NP & PRES",2022,65236,0,3000860,0,0,0,0,0,195,0,7224
"384","Wright Brothers NMEM",2022,437391,2190,437391,1095,0,0,0,0,0,0,0
"385","Wupatki NM",2022,194448,6531,777797,3920,0,0,0,0,0,0,0
"386","Yellowstone NP",2022,3290242,1336634,63536090,762732,492529,439752,10909,18454,34758,0,5814
"387","Yosemite NP",2022,3667550,144769,56964329,3708989,644508,0,349888,220100,142457,0,22568
"388","Yukon-Charley Rivers NPRES",2022,744,8,30888,960,0,0,0,0,1225,40,0
"389","Zion NP",2022,4692417,21900,29929496,5475,56528,0,133666,93947,10375,0,30234
"390","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
