"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"366",2017,"7","KANSAS",61,1326,175638045,57070107,51866,4492
"367",2017,"4","KENTUCKY",139,1501,398254213,279357604,1280120,116263
"368",2017,"6","LOUISIANA",239,1087,6441890384,432378867,5744312,1774242
"369",2017,"1","MAINE",74,333,87208836,1391158,15903,3373
"370",2017,"9","MARIANA ISLANDS",2,4,698604,286,109,0
"371",2017,"3","MARYLAND",94,430,55014168,105579615,48124,21615
"372",2017,"1","MASSACHUSETTS",123,109,19556295510,3892012,19605030,8734
"373",2017,"5","MICHIGAN",193,448,1029824688,659363355,603598,186143
"374",2017,"5","MINNESOTA",102,641,2071954680,5169260,202203,392
"375",2017,"4","MISSISSIPPI",92,1185,45312598,149395736,37907,4521718
"376",2017,"7","MISSOURI",182,2730,2364637659,8137973830,1130669,16131696
"377",2017,"8","MONTANA",34,162,94506109,22060532,14433,3111
"378",2017,"7","NEBRASKA",51,643,338914409,4403398888,1100138,170356
"379",2017,"9","NEVADA",14,97,540984647,159155678,164099,12300
"380",2017,"1","NEW HAMPSHIRE",48,32,270217504,636972,31196,525
"381",2017,"2","NEW JERSEY",134,336,326542841,19504424,180246,2540
"382",2017,"6","NEW MEXICO",34,93,36394239,9295789,54975355,8486797
"383",2017,"2","NEW YORK",321,1263,1028301024,256801698,2124063,110773
"384",2017,"4","NORTH CAROLINA",227,1231,118274681,4275497721,37820,426115
"385",2017,"8","NORTH DAKOTA",24,81,65418986,43777157,214317,3650831
"386",2017,"5","OHIO",292,3138,4699392653,2022494763,273951,102123
"387",2017,"6","OKLAHOMA",105,368,359991203,1144463986,205673,31238
"388",2017,"10","OREGON",74,284,46052868,498586,27181,451
"389",2017,"3","PENNSYLVANIA",405,5326,2053909003,1483593331,56553221426,617453
"390",2017,"2","PUERTO RICO",74,164,119406708,50987324,1227165,95479
"391",2017,"1","RHODE ISLAND",23,52,15082675,4928361,31270,2248
"392",2017,"4","SOUTH CAROLINA",162,243,119887037,339102075,7670710,46968
"393",2017,"8","SOUTH DAKOTA",23,243,16563650,43651897,6033,17525
"394",2017,"4","TENNESSEE",162,995,1475360426,537717920,479006,50828
"395",2017,"6","TEXAS",732,2461,19602926049,3017421960,1283313,713324
"396",2017,"8","UTAH",43,141,6510435178,918650771,364588,5704
"397",2017,"1","VERMONT",34,223,47130256,2936491,13842,2854
"398",2017,"2","VIRGIN ISLANDS",8,75,27871924,76450228,2108,1024
"399",2017,"3","VIRGINIA",152,945,341949566,4772435501,109672,51862
"400",2017,"10","WASHINGTON",77,366,19546464,8483059,11518,7366
"401",2017,"3","WEST VIRGINIA",91,1950,2072377672,1649455825,1278467,208514
"402",2017,"5","WISCONSIN",128,1146,172994944,29971965,37991,5857
"403",2017,"8","WYOMING",24,822,29744660,2384669687,1542,697237507
