"","city","bedrooms","bathrooms","sq_ft","price"
"144","Los Osos",3,2,1509,350000
"145","King City",3,3,1793,167770
"146","Creston",3,2,1705,309900
"147","Templeton",2,3,2100,479000
"148","Los Alamos",3,2,1582,350000
"149","Grover Beach",3,2,1470,350000
"150","Santa Maria-Orcutt",3,2,1424,275000
"151","Paso Robles",4,3,2277,379000
"152","King City",4,2,3368,155900
"153","San Miguel",3,2,1458,229000
"154","Pismo Beach",2,3,1749,604995
"155","Pismo Beach",3,3,1996,599000
"156","Morro Bay",3,2,1008,359000
"157","Lompoc",4,2,1527,199000
"158","Paso Robles",3,2,1440,164900
"159","Coalinga",3,2,1815,179000
"160","Paso Robles",4,2,2064,370000
"161","Santa Ynez",5,4,2402,999000
"162","Paso Robles",3,3,2136,365000
"163","San Miguel",3,2,1498,345000
"164","Paso Robles",2,1,1068,299000
"165","Pismo Beach",2,1,634,519500
"166","Buellton",4,4,3000,645000
"167","Santa Maria-Orcutt",3,2,1218,242500
"168","Santa Maria-Orcutt",3,3,1300,259900
"169","Santa Maria-Orcutt",4,3,2014,310000
"170","Atascadero",2,2,1463,450000
"171","Santa Maria-Orcutt",2,2,1541,220000
"172","San Luis Obispo",3,2,1268,585000
"173","Santa Maria-Orcutt",5,4,2400,324000
"174","Cambria",1,1,551,375000
"175","Paso Robles",3,2,1420,329000
"176","Paso Robles",5,3,2764,599900
"177","Santa Maria-Orcutt",2,2,1014,74900
"178","Los Osos",3,2,1120,285000
"179","Santa Maria-Orcutt",3,3,3400,751900
"180","Santa Maria-Orcutt",3,2,1386,295000
"181","Coalinga",3,2,1320,170000
"182","Santa Maria-Orcutt",3,2,1376,197000
"183","Oceano",3,3,2586,1250000
"184","Paso Robles",3,2,1662,249000
"185","Nipomo",2,2,1033,179000
"186","Santa Maria-Orcutt",3,1,1050,132000
"187","Lockwood",3,2,1500,425000
"188","Santa Maria-Orcutt",5,3,2500,290000
"189","Los Osos",2,2,896,150000
"190","Los Osos",2,2,896,150000
"191","Los Osos",2,2,896,150000
"192","Los Osos",2,2,896,150000
"193","Los Osos",2,2,896,150000
"194","Los Osos",2,2,1388,205000
"195","Atascadero",4,3,3120,599000
"196","Paso Robles",3,3,1352,269000
"197","Santa Maria-Orcutt",4,3,1963,249000
"198","Santa Maria-Orcutt",3,3,1541,235000
"199","Grover Beach",4,3,2449,469000
"200","Nipomo",4,2,1660,159000
"201","King City",3,1,936,69900
"202","Arroyo Grande",5,7,6800,1499000
