"","city","bedrooms","bathrooms","sq_ft","price"
"629","Nipomo",2,2,1152,175000
"630","Morro Bay",2,2,1410,535000
"631","Pismo Beach",2,1,817,540000
"632","Cambria",2,2,703,389000
"633","Paso Robles",3,2,1425,250000
"634","Paso Robles",3,2,1807,425000
"635","Out Of Area",5,4,3800,1195000
"636","Los Osos",3,3,2502,1350000
"637","Santa Maria-Orcutt",1,1,800,78500
"638","Paso Robles",3,2,2237,549000
"639","Santa Maria-Orcutt",4,2,1860,399900
"640","Atascadero",10,11,4905,699000
"641","Santa Maria-Orcutt",2,2,1200,129000
"642","Cambria",2,2,1698,480000
"643","Nipomo",3,1,1022,189000
"644","Pismo Beach",3,2,2080,639900
"645","Santa Maria-Orcutt",5,4,3000,699900
"646","Grover Beach",3,3,3621,999000
"647","Arroyo Grande",3,2,1570,599000
"648","Santa Maria-Orcutt",4,2,1860,365000
"649","Cambria",3,2,1840,359900
"650","Arroyo Grande",4,4,3740,995000
"651","Lompoc",4,2,1217,193450
"652","Santa Maria-Orcutt",3,3,1520,179900
"653","Grover Beach",3,2,1240,329900
"654","Templeton",3,2,1936,509000
"655","Atascadero",3,3,2044,995000
"656","Pismo Beach",3,2,1946,545000
"657","Pismo Beach",3,3,2028,795000
"658","Atascadero",4,3,2700,830000
"659","Arroyo Grande",2,1,624,54500
"660","Arroyo Grande",3,2,1800,149000
"661","Santa Maria-Orcutt",2,2,1056,36000
"662","Paso Robles",3,2,1467,349000
"663","Santa Maria-Orcutt",4,3,2150,299900
"664","Morro Bay",4,2,2004,469000
"665","Oceano",2,2,1044,1195000
"666","Solvang",3,2,1576,419900
"667","Los Osos",2,2,1536,189000
"668","Lompoc",3,2,1082,163900
"669","Lompoc",3,2,1237,163900
"670","Los Osos",3,3,2193,648000
"671","Santa Maria-Orcutt",3,2,1022,130000
"672","Atascadero",3,2,1232,264900
"673","Santa Maria-Orcutt",4,2,1435,189900
"674","Santa Maria-Orcutt",4,2,1430,200000
"675","Arroyo Grande",3,3,2480,1249000
"676","Cayucos",3,3,1832,525000
"677","Cambria",3,3,1953,729000
"678","Santa Maria-Orcutt",3,2,1100,109900
"679","Santa Maria-Orcutt",3,2,2481,850000
"680","Santa Maria-Orcutt",3,2,1704,249500
"681","Oceano",3,2,1161,179900
"682","Los Osos",3,2,1440,149000
"683","Creston",3,2,1701,549000
"684","Atascadero",3,2,1536,435000
"685","Atascadero",3,2,1310,299000
"686","Los Osos",3,2,2187,625000
"687","Santa Maria-Orcutt",4,3,2100,399000
"688","Out Of Area",4,2,1511,186900
"689","Cambria",3,3,2130,1290000
"690","Solvang",2,3,1400,264900
"691","Lompoc",3,2,1225,198900
"692","Paso Robles",3,3,1868,318000
"693","Cambria",4,4,3576,2000000
"694","Cambria",2,3,2219,598000
"695","Paso Robles",3,3,2508,439900
"696","Pismo Beach",3,3,2817,920000
"697","Santa Maria-Orcutt",3,2,1972,179900
"698","Templeton",2,1,952,325000
"699","Grover Beach",3,2,1080,369000
"700","Santa Maria-Orcutt",3,2,1454,312900
"701","Atascadero",3,3,1961,575000
"702","Santa Maria-Orcutt",2,2,1344,26500
"703","San Luis Obispo",5,6,4174,2369000
"704","Atascadero",2,2,120,67500
"705","San Luis Obispo",3,3,3201,1490000
"706","Morro Bay",3,2,1427,652000
"707","Atascadero",3,3,2100,449000
"708","Morro Bay",3,2,2306,982800
"709","Santa Maria-Orcutt",4,3,2100,235000
"710","Paso Robles",4,3,3166,579900
"711","Santa Maria-Orcutt",3,2,1280,250000
"712","Coalinga",3,1,870,100000
"713","Coalinga",2,1,960,125000
"714","Cambria",2,2,919,650000
"715","Santa Maria-Orcutt",2,2,1034,119900
"716","San Miguel",3,2,1356,209900
"717","Paso Robles",3,2,2380,524900
"718","Atascadero",5,3,3000,349000
"719","Atascadero",5,3,3000,349000
"720","Cambria",2,3,1840,825000
"721","Grover Beach",3,2,1189,255000
"722","Nipomo",4,2,1336,259000
"723","Paso Robles",2,1,832,199000
"724","Santa Maria-Orcutt",5,3,2100,410000
"725","Paso Robles",3,1,940,199000
"726","Paso Robles",3,2,1344,270000
"727","Cayucos",2,2,1437,695000
"728","Cambria",5,4,3684,2995000
"729","Paso Robles",1,2,300,131900
"730","Cambria",4,3,2717,995000
"731","Santa Maria-Orcutt",4,3,2097,250000
"732","Arroyo Grande",5,2,1575,239800
"733","Atascadero",6,3,2628,425000
"734","Arroyo Grande",3,2,1750,525000
"735","Pismo Beach",3,2,1346,459900
"736","Atascadero",3,2,1041,229900
"737","Out Of Area",3,2,1526,199900
"738","Arroyo Grande",4,2,1728,599000
"739","Santa Maria-Orcutt",4,2,1378,197600
"740","Santa Maria-Orcutt",2,1,1145,355000
"741","Paso Robles",3,2,1325,339900
"742","Santa Maria-Orcutt",3,3,1850,299000
"743","Soledad",4,2,1765,166800
"744","Grover Beach",4,2,1631,379000
"745","Santa Ynez",4,4,2693,1395000
"746","Santa Maria-Orcutt",3,2,1316,150000
"747","San Luis Obispo",3,2,1382,475000
"748","Santa Maria-Orcutt",4,3,2300,265000
"749","Atascadero",3,2,1617,265000
"750","Los Osos",2,2,1150,225000
"751","Paso Robles",2,2,1674,249900
"752","Arroyo Grande",3,2,1543,509000
"753","Paso Robles",2,2,1351,214900
"754","Arroyo Grande",4,5,5060,5499000
"755","Santa Maria-Orcutt",3,2,2000,349900
"756","Solvang",2,2,1536,125000
"757","Cambria",2,2,924,549000
"758","Cambria",3,3,1860,865000
"759","Bradley",3,3,2640,1600000
"760","Nipomo",4,4,3395,1065000
"761","Templeton",3,2,1850,625000
"762","Santa Maria-Orcutt",3,2,1000,249999
"763","Arroyo Grande",4,3,2720,975000
"764","Oceano",2,1,992,204900
"765","Atascadero",3,2,1737,355000
"766","Out Of Area",3,3,1435,134900
"767","Santa Maria-Orcutt",5,3,1671,199900
"768","Santa Maria-Orcutt",4,3,2800,349900
"769","Santa Maria-Orcutt",2,2,900,99000
"770","Coalinga",4,3,2507,409000
"771","Pismo Beach",2,2,1440,339000
"772","San Miguel",3,3,2238,595000
"773","Pismo Beach",3,3,2725,849500
"774","Paso Robles",2,3,1772,399000
"775","Paso Robles",4,2,1947,399000
"776","Solvang",3,2,1720,525000
"777","Paso Robles",3,3,1605,319900
"778","Paso Robles",3,2,1877,495000
"779","San Luis Obispo",3,2,1104,372000
"780","Arroyo Grande",3,2,1975,589000
"781","Cambria",3,3,2392,1100000
